Aljamiado Português::01 - Curso Gradual::Lição 1: Os Não-Conectores Fundamentais (ا, د, ر, ز, ژ, و)	a <span style='font-size:0.85em; color:#8b949e;'>(ا (Alif) — Isolada)</span>	Isolada (ا)	اَ (اَ)	Fórmula: ا
Aljamiado Português::01 - Curso Gradual::Lição 1: Os Não-Conectores Fundamentais (ا, د, ر, ز, ژ, و)	da <span style='font-size:0.85em; color:#8b949e;'>(ا (Alif) — Final)</span>	Dāl (د) + Alif final (ـا)	دَا (دَا) دَا دَا دَا (دَا)	Fórmula: د + ا
Aljamiado Português::01 - Curso Gradual::Lição 1: Os Não-Conectores Fundamentais (ا, د, ر, ز, ژ, و)	do <span style='font-size:0.85em; color:#8b949e;'>(د (Dāl) — Isolada)</span>	Dāl (د) + Waw (و)	دۆ (دۆ) دۆ دۆ (دۆ)	Fórmula: د + و
Aljamiado Português::01 - Curso Gradual::Lição 1: Os Não-Conectores Fundamentais (ا, د, ر, ز, ژ, و)	vida <span style='font-size:0.85em; color:#8b949e;'>(د (Dāl) — Final)</span>	Waw + Ye medial + Dāl final (ـد) + Gol He	وِیدَہ وِیدَہ وِیدَہ وِیدَہ وِیدَہ وِیدَہ وِیدَہ (وِیدَہ) وِیدَہ وِیدَہ وِیدَہ	Fórmula: و + ی + د + ہ
Aljamiado Português::01 - Curso Gradual::Lição 1: Os Não-Conectores Fundamentais (ا, د, ر, ز, ژ, و)	rio <span style='font-size:0.85em; color:#8b949e;'>(ر (Rā) — Isolada)</span>	Rā inicial (ر) + Ye + Waw	Rā inicial (ر) + Ye + Waw	Fórmula: ر + ی + و
Aljamiado Português::01 - Curso Gradual::Lição 1: Os Não-Conectores Fundamentais (ا, د, ر, ز, ژ, و)	ver <span style='font-size:0.85em; color:#8b949e;'>(ر (Rā) — Final)</span>	Waw (و) + Rā final (ـر)	Waw (و) + Rā final (ـر)	Fórmula: و + ر
Aljamiado Português::01 - Curso Gradual::Lição 1: Os Não-Conectores Fundamentais (ا, د, ر, ز, ژ, و)	zero <span style='font-size:0.85em; color:#8b949e;'>(ز (Zāy) — Isolada)</span>	Zāy (ز) + Rā + Waw	Zāy (ز) + Rā + Waw	Fórmula: ز + ر + و
Aljamiado Português::01 - Curso Gradual::Lição 1: Os Não-Conectores Fundamentais (ا, د, ر, ز, ژ, و)	paz <span style='font-size:0.85em; color:#8b949e;'>(ز (Zāy) — Final)</span>	Pā inicial + Alif + Zāy final (ـز)	پَزْ پَزْ پَزْ پَزْ پَزْ پَزْ پَزْ (پَزْ)	Fórmula: پ + ا + ز
Aljamiado Português::01 - Curso Gradual::Lição 1: Os Não-Conectores Fundamentais (ا, د, ر, ز, ژ, و)	já <span style='font-size:0.85em; color:#8b949e;'>(ژ (Žā) — Isolada)</span>	Žā (ژ) + Alif (ا)	ژَا (ژَا) ژَا ژَا (ژَا)	Fórmula: ژ + ا
Aljamiado Português::01 - Curso Gradual::Lição 1: Os Não-Conectores Fundamentais (ا, د, ر, ز, ژ, و)	hoje <span style='font-size:0.85em; color:#8b949e;'>(ژ (Žā) — Final)</span>	Hā mudo (هـ) + Žā final (ـژ) + Gol He	هۆژَه هۆژَه (هۆژَه) هۆژَه هۆژَه هۆژَه (هۆژَه) هۆژَه هۆژَه هۆژَه	Fórmula: ه + ژ + ہ
Aljamiado Português::01 - Curso Gradual::Lição 1: Os Não-Conectores Fundamentais (ا, د, ر, ز, ژ, و)	o <span style='font-size:0.85em; color:#8b949e;'>(و (Waw) — Isolada)</span>	Isolada (و)	وۆ (وۆ)	Fórmula: و
Aljamiado Português::01 - Curso Gradual::Lição 1: Os Não-Conectores Fundamentais (ا, د, ر, ز, ژ, و)	livro <span style='font-size:0.85em; color:#8b949e;'>(و (Waw) — Final)</span>	Lām + Ye + Waw medial + Rā + Waw final (ـو)	Lām + Ye + Waw medial + Rā + Waw final (ـو)	Fórmula: ل + ی + و + ر + و
Aljamiado Português::01 - Curso Gradual::Lição 2: A Família do Bā (ب, پ, ت) e as 4 Posições Gráficas	sob <span style='font-size:0.85em; color:#8b949e;'>(ب (Bā) — Isolada)</span>	Sīn inicial + Bā isolada (ب)	سَبْ سَبْ سَبْ سَبْ سَبْ (سَبْ)	Fórmula: س + ب
Aljamiado Português::01 - Curso Gradual::Lição 2: A Família do Bā (ب, پ, ت) e as 4 Posições Gráficas	boa <span style='font-size:0.85em; color:#8b949e;'>(ب (Bā) — Inicial)</span>	Bā inicial (بوـ) + Waw + Gol He	بوۆہ بوۆہ (بوۆہ) بوۆہ بوۆہ بوۆہ بوۆہ بوۆہ	Fórmula: ب + و + ہ
Aljamiado Português::01 - Curso Gradual::Lição 2: A Família do Bā (ب, پ, ت) e as 4 Posições Gráficas	sabedoria <span style='font-size:0.85em; color:#8b949e;'>(ب (Bā) — Medial)</span>	Sīn + Bā medial (ـبـ) + Dāl + Rā + Ye + Gol He	سَبَدُرِیَہ سَبَدُرِیَہ سَبَدُرِیَہ سَبَدُرِیَہ (سَبَدُرِیَہ) سَبَدُرِیَہ سَبَدُرِیَہ سَبَدُرِیَہ سَبَدُرِیَہ سَبَدُرِیَہ سَبَدُرِیَہ سَبَدُرِیَہ سَبَدُرِیَہ سَبَدُرِیَہ	Fórmula: س + ب + د + ر + ی + ہ
Aljamiado Português::01 - Curso Gradual::Lição 2: A Família do Bā (ب, پ, ت) e as 4 Posições Gráficas	sob <span style='font-size:0.85em; color:#8b949e;'>(ب (Bā) — Final)</span>	Sīn inicial + Bā final (ـب)	سَبْ سَبْ سَبْ سَبْ سَبْ (سَبْ)	Fórmula: س + ب
Aljamiado Português::01 - Curso Gradual::Lição 2: A Família do Bā (ب, پ, ت) e as 4 Posições Gráficas	zap <span style='font-size:0.85em; color:#8b949e;'>(پ (Pā) — Isolada)</span>	Zāy + Alif + Pā isolada (پ)	زَاپْ زَاپْ زَاپْ زَاپْ زَاپْ زَاپْ (زَاپْ)	Fórmula: ز + ا + پ
Aljamiado Português::01 - Curso Gradual::Lição 2: A Família do Bā (ب, پ, ت) e as 4 Posições Gráficas	para <span style='font-size:0.85em; color:#8b949e;'>(پ (Pā) — Inicial)</span>	Pā inicial (پرـ) + Rā + Gol He	پَرَه پَرَه (پَرَه) پَرَه پَرَه پَرَه پَرَه پَرَه	Fórmula: پ + ر + ہ
Aljamiado Português::01 - Curso Gradual::Lição 2: A Família do Bā (ب, پ, ت) e as 4 Posições Gráficas	esperança <span style='font-size:0.85em; color:#8b949e;'>(پ (Pā) — Medial)</span>	Alif + Sīn + Pā medial (ـپـ) + Rā + Nūn + Chā + Gol He	اَسْپَرَنـْچَہ اَسْپَرَنـْچَہ اَسْپَرَنـْچَہ اَسْپَرَنـْچَہ اَسْپَرَنـْچَہ اَسْپَرَنـْچَہ (اَسْپَرَنـْچَہ) اَسْپَرَنـْچَہ اَسْپَرَنـْچَہ اَسْپَرَنـْچَہ اَسْپَرَنـْچَہ اَسْپَرَنـْچَہ اَسْپَرَنـْچَہ اَسْپَرَنـْچَہ اَسْپَرَنـْچَہ اَسْپَرَنـْچَہ	Fórmula: ا + س + پ + ر + ن + چ + ہ
Aljamiado Português::01 - Curso Gradual::Lição 2: A Família do Bā (ب, پ, ت) e as 4 Posições Gráficas	zap <span style='font-size:0.85em; color:#8b949e;'>(پ (Pā) — Final)</span>	Zāy + Alif + Pā final (ـپ)	زَاپْ زَاپْ زَاپْ زَاپْ زَاپْ زَاپْ (زَاپْ)	Fórmula: ز + ا + پ
Aljamiado Português::01 - Curso Gradual::Lição 2: A Família do Bā (ب, پ, ت) e as 4 Posições Gráficas	tu / tudo <span style='font-size:0.85em; color:#8b949e;'>(ت (Tā) — Isolada / Inicial)</span>	Tā inicial (توـ) + Waw	تُودۆ تُودۆ (تُودۆ) تُودۆ تُودۆ	Fórmula: ت + و
Aljamiado Português::01 - Curso Gradual::Lição 2: A Família do Bā (ب, پ, ت) e as 4 Posições Gráficas	fruto <span style='font-size:0.85em; color:#8b949e;'>(ت (Tā) — Medial)</span>	Fā + Rā + Waw + Tā medial (ـتـ) + Waw	Fā + Rā + Waw + Tā medial (ـتـ) + Waw	Fórmula: ف + ر + و + ت + و
Aljamiado Português::01 - Curso Gradual::Lição 2: A Família do Bā (ب, پ, ت) e as 4 Posições Gráficas	até <span style='font-size:0.85em; color:#8b949e;'>(ت (Tā) — Final)</span>	Alif + Tā medial/final (ـتـ) + Ye final (ـی)	اَتِی اَتِی اَتِی اَتِی (اَتِی) اَتِی اَتِی اَتِی (اَتِی)	Fórmula: ا + ت + ی
